hour,horizon,sensor_idx,sensor_id,latitude,longitude,MAE,n_samples
0,15 min,206,769373.0,34.10262,-118.31747,5.9157,288
0,30 min,0,773869.0,34.15497,-118.31829,1.1946,288
0,30 min,1,767541.0,34.11621,-118.23799,1.0722,288
0,30 min,2,767542.0,34.11641,-118.23819,23.8016,288
0,30 min,3,717447.0,34.07248,-118.26772,2.0213,288
0,30 min,4,717446.0,34.07142,-118.26572,5.9479,288
0,30 min,5,717445.0,34.06913,-118.25932,3.0044,288
0,30 min,6,773062.0,34.05368,-118.23369,3.3657,288
0,30 min,7,767620.0,34.13486,-118.22932,1.5694,288
0,30 min,8,737529.0,34.20264,-118.47352,7.2995,288
0,30 min,9,717816.0,34.15562,-118.4686,7.2005,288
0,30 min,10,765604.0,34.16415,-118.38223,3.5621,288
0,30 min,11,767471.0,34.15691,-118.22469,2.8947,288
0,30 min,12,716339.0,34.07821,-118.28795,17.0629,288
0,30 min,13,773906.0,34.1566,-118.30266,1.3157,288
0,30 min,14,765273.0,34.18949,-118.47437,16.2667,288
0,30 min,15,716331.0,34.07006,-118.26246,7.205,288
0,30 min,16,771667.0,34.07314,-118.23388,1.5743,288
0,30 min,17,716337.0,34.07732,-118.28186,2.8338,288
0,30 min,18,769953.0,34.20672,-118.19992,1.3668,288
0,30 min,19,769402.0,34.12095,-118.33911,2.505,288
0,30 min,20,769403.0,34.12073,-118.33928,4.7305,288
0,30 min,21,769819.0,34.20584,-118.19803,1.3078,288
0,30 min,22,769405.0,34.12634,-118.34482,8.5038,288
0,30 min,23,716941.0,34.05767,-118.21435,13.366,288
0,30 min,24,717578.0,34.15478,-118.27076,3.5138,288
0,30 min,25,716960.0,34.12121,-118.27164,11.3321,288
0,30 min,26,717804.0,34.09478,-118.47605,2.4321,288
0,30 min,27,767572.0,34.12967,-118.22871,1.1947,288
0,30 min,28,767573.0,34.12964,-118.22901,19.3474,288
0,30 min,29,773012.0,34.0839,-118.22086,11.0365,288
0,30 min,30,773013.0,34.08374,-118.22076,3.9201,288
0,30 min,31,764424.0,34.17878,-118.39469,1.487,288
0,30 min,32,769388.0,34.11027,-118.33441,3.9353,288
0,30 min,33,716328.0,34.06664,-118.25397,1.7371,288
0,30 min,34,717819.0,34.18784,-118.47407,1.1863,288
